Airline,flight,Price,BookingStatus,DateTime
Aer Lingus,9696,200.98,PendingCapture,Mon, 16 Mar 2020 21:22:08 +0000
United Airlines,234,432.98,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
Virgin America,12,765.32,null,null
United Airlines,234,432.98,null,null
United Airlines,234,432.98,null,null
Aer Lingus,9696,200.98,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
United Airlines,234,432.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
United Airlines,234,432.98,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Virgin America,12,765.32,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
United Airlines,234,432.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
United Airlines,234,432.98,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
United Airlines,234,432.98,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
United Airlines,234,432.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Virgin America,43,472.56,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Lufthansa,4346,233.98,null,null
Virgin America,43,472.56,null,null
Virgin America,12,765.32,null,null
United Airlines,234,432.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Lufthansa,4346,233.98,null,null
Lufthansa,4346,233.98,null,null
Virgin America,12,765.32,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Virgin America,12,765.32,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,12,765.32,null,null
Virgin America,43,472.56,null,null
Virgin America,12,765.32,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
United Airlines,234,432.98,null,null
Virgin America,43,472.56,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
Lufthansa,4346,233.98,null,null
Aer Lingus,9696,200.98,null,null
Virgin America,43,472.56,null,null
